,Datetime,Text,TweetID,username
84,2020-06-23 23:21:47+00:00,What bull shit in Chinese phones.... Hum to jaise daily thahake maar rahe hain! Take a look at Sushant Singh Rajput और Lauren Gottlieb की रुला देगी आखिरी Whats app Chat | FilmiBeat! #Mi Video ( https://video.in.intl.xiaomi.com/api2/share/url?version=v1&amp;item=1653e2731582418b815fb9fb14487b20 ),1275569772181118979,Ankesh_Chandra
85,2020-06-23 23:21:00+00:00,we want a CBI enquiry behind the death of @itsSSR. If @ranbirrk or @aliaa08 had died in similar circumstances wouldn’t this demand had been met immediately. The mafia @BeingSalmanKhan has to be tried. why nepotism in CBI enquiry after an actors death#JusticeForShushantSinghRajput,1275569574637793280,Testimo83756609
86,2020-06-23 23:20:11+00:00,Sushant singh rajput ki hatya kand pr please cbi ki janch shuru krwayi jaye.. Please @PMOIndia,1275569371885105152,Annpurn37788924
87,2020-06-23 23:19:41+00:00,"One Nepo Kid Supporting Another.. Your @aliaa08 whole life is all about ""NEPOTISM"" &amp; supporting NEPOTISM MAFIA. India wants get rid all of you. #BoycottKaranJoharGang #FIRForSushantUnder302 #BoycottKaranJohar #SushantSinghRajput Learn from #KanganaRanaut",1275569244252459009,isrikrishna
88,2020-06-23 23:18:58+00:00,#SushantSinghRajput #SalmanKhanIsBULLY #karanjohargang #AliaBhatt #bansalmankhan #BollywoodBlockedSushant #Bollywood #BollywoodMAFIA #KaranJohar,1275569062643449858,watcher_review
89,2020-06-23 23:18:49+00:00,It's too late. #SushantSinghRajput #JusticeForSushantSinghRajput,1275569025079111680,pradipta2013
90,2020-06-23 23:18:04+00:00,"@itsSSR was tailor-made for this role,a real bihari with the small town appeal &amp; boyish charm was unfortunately replaced by a star-kid who destroyed the part so mercilessly ""kavva chala hans ki chaal langada kar thoda thoda"" bhai acting hai halwa nahi,sad-nepotism killed it ",1275568836582928385,imadityaaryan
91,2020-06-23 23:17:52+00:00,"Dilip Tahil, who spoke on the suicide of Sushant Singh Rajput, said- ""Can't commit suicide like this"" actor dalip tahil reacts on sushant singh rajput suicide says not only career issues ",1275568788025610241,the_shoutfeed
92,2020-06-23 23:17:12+00:00,"https://youtu.be/Nzn1FJvNBa0 See the episode of bhatt, the women exploiter, role in the murder of Sushant Singh Rajput",1275568619112431616,krish_kanyal
93,2020-06-23 23:16:50+00:00,Why is Mahesh Bhatt not speaking up regarding Sushant Singh Rajput? : Bollywood News ,1275568529325068291,shardauniquepro
94,2020-06-23 23:16:36+00:00,Hi @rickypatel26 Dedicate @BeingSalmanKhan #Song or #Dialogue to your friends by tweeting #BeingSalmanBot,1275568470575460354,BeingSalmanBot
95,2020-06-23 23:16:16+00:00,@itsSSR we want justice for Sushant Singh rajput,1275568385225453568,neha98023907
